"","DateTime","Air_Temperature_celsius","Surface_Level_Barometric_Pressure_pascal","Relative_Humidity_percent","Ten_Meter_Elevation_Wind_Speed_meterPerSecond","Ten_Meter_Elevation_Wind_Direction_degree","Shortwave_Radiation_Downwelling_wattPerMeterSquared","Cloud_Cover_decimalFraction","Ten_Meter_Uwind_vector_meterPerSecond","Ten_Meter_Vwind_vector_meterPerSecond","Dewpoint_Temperature_celsius","Longwave_Radiation_Downwelling_wattPerMeterSquared","Rainfall_millimeterPerHour","Snowfall_millimeterPerHour","Sea_Level_Barometric_Pressure_pasca","Vapor_Pressure_milliBar"
"118434",2023-07-06 17:00:00,19.6,97310,44.0833333333333,2.06666666666667,288.333333333333,243.333333333333,0,-1.96176813005094,0.650059162713323,8.41666666666666,NA,NA,NA,NA,NA
"118435",2023-07-06 18:00:00,19.5,97333.3333333333,45.05,1.28333333333333,271.666666666667,146.111111111111,0.25,-1.28279041927215,0.037325389053668,8.51,NA,NA,NA,NA,NA
"118436",2023-07-06 19:00:00,17.1333333333333,97363.3333333333,53.1833333333333,1.18333333333333,293.333333333333,15.8333333333333,0.25,-1.08655572647499,0.468694389812994,7.76999999999996,NA,NA,NA,NA,NA
"118437",2023-07-06 20:00:00,15.2666666666667,97418.3333333333,61.1,1.01666666666667,295,0,0.5,-0.921412916820597,0.429661899436379,7.4866666666667,NA,NA,NA,NA,NA
"118438",2023-07-06 21:00:00,14.7166666666667,97455,62.9166666666667,0.483333333333333,76.6666666666667,0,0,0.470305020780248,0.111464337525512,7.30000000000004,NA,NA,NA,NA,NA
"118439",2023-07-06 22:00:00,13.45,97480,67.8166666666667,0.6,210,0,0.625,-0.3,-0.519615242270663,7.01333333333334,NA,NA,NA,NA,NA
"118440",2023-07-06 23:00:00,12.55,97493.3333333333,72.85,0.6,76.6666666666667,0,0.25,0.583826922347894,0.138369522445464,7.12,NA,NA,NA,NA,NA
"118441",2023-07-07,11.7666666666667,97498.3333333333,77.75,0.8,95,0,0,0.796955758473397,-0.0697245941981266,7.3166666666667,NA,NA,NA,NA,NA
"118442",2023-07-07 01:00:00,10.5333333333333,97496.6666666667,83.7166666666667,1.13333333333333,68.3333333333333,0,0.125,1.05326052745706,0.418433633621042,7.27666666666664,NA,NA,NA,NA,NA
"118443",2023-07-07 02:00:00,9.75,97481.6666666667,87.5166666666667,0.966666666666667,75,0,0,0.9337282987461,0.250191743599103,7.25333333333334,NA,NA,NA,NA,NA
"118444",2023-07-07 03:00:00,9.3,97498.3333333333,89.0833333333333,1.03333333333333,76.6666666666667,1.11111111111111,0,1.00547969959915,0.238303066433854,7.11666666666666,NA,NA,NA,NA,NA
"118445",2023-07-07 04:00:00,9.56666666666667,97533.3333333333,89.3,0.683333333333333,83.3333333333333,28.0555555555556,0,0.678712877790327,0.0793301579855743,7.42666666666667,NA,NA,NA,NA,NA
"118446",2023-07-07 05:00:00,12,97541.6666666667,82.2,0.983333333333333,85,213.055555555556,0,0.979591453123549,0.0857031470351971,8.44,NA,NA,NA,NA,NA
"118447",2023-07-07 06:00:00,15.5333333333333,97555,68.6666666666667,1.25,73.3333333333333,375.833333333333,0,1.19748689039436,0.358504040888863,9.26666666666664,NA,NA,NA,NA,NA
