Depth_meter,Area_meterSquared
0,2220000
1.5,2110000
2,2055900
2.5,2005000
3,1958600
4,1863400
5,1770099.9
6,1678700
7,1589299.9
8,1501700
9,1416000.1
10,1332100.1
11,1250000
12,1169700
13,1091200
14,1014400
15,939300
16,865900
17,794200
18,724200
19,655700
20,588900
21,523600
22,459900
22.5,430000
23,4e+05
31.75,0
